smart,fortwo,9.45,微型,3门2座单厢,260L,1年2个月,1.30万公里,1.0L,4.4L,1.0L/双离合,后轮驱动,3门2座单厢,2695mm*1663mm*1555mm,2017年07月,北京,
大众,朗行,11.47,紧凑型,- -,- -,7个月,1.69万公里,1.4L,5.7L,1.4L/- -,- -,- -,- -,2018年02月,北京,
大众,朗行,8.78,紧凑型,5门5座两厢,412L,2年3个月,3.52万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,5门5座两厢,4445mm*1765mm*1485mm,2016年06月,河南 郑州,
大众,帕萨特,15.94,中型,- -,- -,1年1个月,1.68万公里,1.8T,Null,1.8T/- -,- -,- -,- -,2017年08月,河南 郑州,
路虎,揽胜极光,27.62,中型SUV,5门5座两厢,575L,1年10个月,2.50万公里,2.0L,8.1L,2.0L/手自一体,适时四驱,5门5座两厢,4370mm*1900mm*1635mm,2016年11月,河南 郑州,
东风风行,景逸SUV,2.72,紧凑型SUV,5门5座两厢,- -,5年5个月,5.30万公里,1.6L,6.6L,1.6L/手动,前轮驱动,5门5座两厢,4347mm*1835mm*1739mm,2013年04月,河南 郑州,
比亚迪,S7,6.55,中型SUV,5门7座两厢,365L,3年4个月,3.49万公里,2.0L,8.6L,2.0L/双离合,前轮驱动,5门7座两厢,4835mm*1855mm*1720mm,2015年05月,河南 郑州,
大众,高尔夫,11.65,紧凑型,5门5座两厢,380L,2年7个月,2.02万公里,1.4L,5.8L,1.4L/双离合,前轮驱动,5门5座两厢,4255mm*1799mm*1452mm,2016年01月,河南 开封,
奔驰,A级,13.46,紧凑型,5门5座两厢,341L,4年4个月,5.57万公里,1.6L,6.0L,1.6L/双离合,前轮驱动,5门5座两厢,4292mm*1780mm*1433mm,2014年05月,河南 郑州,
奔驰,C级,26.83,中型,4门5座三厢,- -,1年4个月,0.99万公里,1.6L,6.0L,1.6L/手自一体,后轮驱动,4门5座三厢,4783mm*1810mm*1442mm,2017年05月,河南 郑州,
本田,UR-V,28.93,中型SUV,5门5座两厢,- -,7个月,1.04万公里,2.0L,8.5L,2.0L/手自一体,适时四驱,5门5座两厢,4825mm*1942mm*1675mm,2018年02月,北京,
